year,emissions_mtco2,sector,yoy_change_mtco2,yoy_change_pct
1919,2.201,Other industry,0.07400000000000029,0.03479078514339459
1920,9.07,Cement,1.6710000000000003,0.22584132990944725
1920,3132.616,Coal,412.4609999999998,0.15163143276761792
1920,41.685,Gas,3.737000000000002,0.09847686307578797
1920,361.039,Oil,87.62799999999999,0.32049917523435406
1920,2.347,Other industry,0.1459999999999999,0.06633348477964557
1921,8.94,Cement,-0.13000000000000078,-0.01433296582138928
1921,2672.104,Coal,-460.51200000000017,-0.14700556978576376
1921,34.992,Gas,-6.693000000000005,-0.16056135300467805
1921,397.27,Oil,36.230999999999995,0.10035203953035543
1921,1.687,Other industry,-0.6599999999999999,-0.2812100553898594
1922,10.448,Cement,1.508000000000001,0.16868008948545873
1922,2773.434,Coal,101.33000000000038,0.03792142820788427
1922,40.107,Gas,5.115000000000002,0.14617626886145413
1922,438.308,Oil,41.03800000000001,0.1033000226546178
1922,2.421,Other industry,0.7339999999999998,0.4350918790752814
1923,12.507,Cement,2.0589999999999993,0.19707120980091877
1923,3149.715,Coal,376.28099999999995,0.13567332051168332
1923,52.526,Gas,12.419000000000004,0.30964669509063264
1923,485.534,Oil,47.226,0.10774615110835303
1923,2.714,Other industry,0.29300000000000015,0.12102437009500214
1924,13.582,Cement,1.075000000000001,0.08595186695450556
1924,3155.952,Coal,6.23700000000008,0.0019801791590667982
1924,59.709,Gas,7.183,0.1367513231542474
1924,484.185,Oil,-1.3489999999999895,-0.0027783842120222054
1924,2.714,Other industry,0.0,0.0
1925,14.429,Cement,0.8469999999999995,0.06236194963922835
1925,3153.677,Coal,-2.275000000000091,-0.0007208601398247155
1925,63.923,Gas,4.213999999999999,0.07057562511514175
1925,505.524,Oil,21.339,0.04407199727376932
1925,3.081,Other industry,0.367,0.13522476050110538
1926,14.74,Cement,0.31099999999999994,0.021553815233210892
1926,3084.044,Coal,-69.63300000000027,-0.02207994033631227
1926,69.145,Gas,5.221999999999994,0.08169203573048815
1926,506.47,Oil,0.9460000000000264,0.0018713255948283887
1926,3.007,Other industry,-0.07399999999999984,-0.024018175916910044
1927,15.448,Cement,0.7080000000000002,0.04803256445047491
1927,3364.399,Coal,280.355,0.09090499357337316
1927,76.018,Gas,6.873000000000005,0.09939981198929793
1927,554.148,Oil,47.678,0.09413785614152861
1927,2.934,Other industry,-0.07299999999999995,-0.024276687728633173
1928,35.583,Cement,20.134999999999998,1.3034049715173484
1928,3307.581,Coal,-56.817999999999756,-0.01688800882416139
1928,82.623,Gas,6.605000000000004,0.08688731616196169
1928,567.589,Oil,13.441000000000031,0.02425525310927772
1928,2.934,Other industry,0.0,0.0
1929,36.873,Cement,1.2899999999999991,0.036253267009526996
1929,3523.884,Coal,216.30299999999988,0.06539613088840451
1929,102.895,Gas,20.27199999999999,0.24535540951066884
1929,621.698,Oil,54.108999999999924,0.09533130487024928
